2024-03-21 21:42:38,663 | WARN  | Transport Connection to: tcp://127.0.0.1:56604 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56604@61616
2024-03-21 21:42:38,663 | WARN  | Transport Connection to: tcp://127.0.0.1:56602 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56602@61616
2024-03-21 21:42:38,662 | WARN  | Transport Connection to: tcp://127.0.0.1:56599 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56599@61616
2024-03-21 21:42:38,662 | WARN  | Transport Connection to: tcp://127.0.0.1:56600 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56600@61616
2024-03-21 21:42:38,662 | WARN  | Transport Connection to: tcp://127.0.0.1:56597 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56597@61616
2024-03-21 21:42:38,661 | WARN  | Transport Connection to: tcp://127.0.0.1:56592 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56592@61616
2024-03-21 21:42:38,660 | WARN  | Transport Connection to: tcp://127.0.0.1:56589 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56589@61616
2024-03-21 21:42:38,660 | WARN  | Transport Connection to: tcp://127.0.0.1:56590 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56590@61616
2024-03-21 21:42:38,660 | WARN  | Transport Connection to: tcp://127.0.0.1:56586 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56586@61616
2024-03-21 21:42:38,660 | WARN  | Transport Connection to: tcp://127.0.0.1:56585 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56585@61616
2024-03-21 21:42:38,659 | WARN  | Transport Connection to: tcp://127.0.0.1:56573 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56573@61616
2024-03-21 21:42:38,658 | WARN  | Transport Connection to: tcp://127.0.0.1:56571 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56571@61616
2024-03-21 21:42:38,658 | WARN  | Transport Connection to: tcp://127.0.0.1:56572 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56572@61616
2024-03-21 21:42:38,657 | WARN  | Transport Connection to: tcp://127.0.0.1:56570 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56570@61616
2024-03-21 21:42:38,656 | WARN  | Transport Connection to: tcp://127.0.0.1:56566 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56566@61616
2024-03-21 21:42:38,656 | WARN  | Transport Connection to: tcp://127.0.0.1:56564 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56564@61616
2024-03-21 21:42:38,656 | WARN  | Transport Connection to: tcp://127.0.0.1:56563 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56563@61616
2024-03-21 21:42:38,656 | WARN  | Transport Connection to: tcp://127.0.0.1:56562 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56562@61616
2024-03-21 21:42:38,655 | WARN  | Transport Connection to: tcp://127.0.0.1:56560 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56560@61616
2024-03-21 21:42:38,655 | WARN  | Transport Connection to: tcp://127.0.0.1:56561 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56561@61616
2024-03-21 21:42:38,654 | WARN  | Transport Connection to: tcp://127.0.0.1:56558 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56558@61616
2024-03-21 21:42:38,654 | WARN  | Transport Connection to: tcp://127.0.0.1:56557 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56557@61616
2024-03-21 21:42:38,654 | WARN  | Transport Connection to: tcp://127.0.0.1:56556 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56556@61616
2024-03-21 21:42:38,654 | WARN  | Transport Connection to: tcp://127.0.0.1:56555 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56555@61616
2024-03-21 21:42:38,653 | WARN  | Transport Connection to: tcp://127.0.0.1:56553 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56553@61616
2024-03-21 21:42:38,653 | WARN  | Transport Connection to: tcp://127.0.0.1:56554 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56554@61616
2024-03-21 21:42:38,653 | WARN  | Transport Connection to: tcp://127.0.0.1:56548 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56548@61616
2024-03-21 21:42:38,653 | WARN  | Transport Connection to: tcp://127.0.0.1:56547 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56547@61616
2024-03-21 21:42:38,652 | WARN  | Transport Connection to: tcp://127.0.0.1:56546 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56546@61616
2024-03-21 21:42:38,652 | WARN  | Transport Connection to: tcp://127.0.0.1:56538 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56538@61616
2024-03-21 21:42:38,652 | WARN  | Transport Connection to: tcp://127.0.0.1:56552 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56552@61616
2024-03-21 21:42:38,651 | WARN  | Transport Connection to: tcp://127.0.0.1:56537 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56537@61616
2024-03-21 21:42:38,651 | WARN  | Transport Connection to: tcp://127.0.0.1:56551 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56551@61616
2024-03-21 21:42:38,651 | WARN  | Transport Connection to: tcp://127.0.0.1:57386 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57386@61616
2024-03-21 21:42:38,651 | WARN  | Transport Connection to: tcp://127.0.0.1:57385 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57385@61616
2024-03-21 21:42:38,650 | WARN  | Transport Connection to: tcp://127.0.0.1:57296 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57296@61616
2024-03-21 21:42:38,650 | WARN  | Transport Connection to: tcp://127.0.0.1:57384 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57384@61616
2024-03-21 21:42:38,650 | WARN  | Transport Connection to: tcp://127.0.0.1:57143 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57143@61616
2024-03-21 21:42:38,650 | WARN  | Transport Connection to: tcp://127.0.0.1:57136 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57136@61616
2024-03-21 21:42:38,649 | WARN  | Transport Connection to: tcp://127.0.0.1:57020 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57020@61616
2024-03-21 21:42:38,649 | WARN  | Transport Connection to: tcp://127.0.0.1:57146 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57146@61616
2024-03-21 21:42:38,649 | WARN  | Transport Connection to: tcp://127.0.0.1:56764 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56764@61616
2024-03-21 21:42:38,648 | WARN  | Transport Connection to: tcp://127.0.0.1:57576 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57576@61616
2024-03-21 21:42:38,648 | WARN  | Transport Connection to: tcp://127.0.0.1:57573 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57573@61616
2024-03-21 21:42:38,647 | WARN  | Transport Connection to: tcp://127.0.0.1:57571 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57571@61616
2024-03-21 21:42:38,647 | WARN  | Transport Connection to: tcp://127.0.0.1:57567 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57567@61616
2024-03-21 21:42:38,647 | WARN  | Transport Connection to: tcp://127.0.0.1:57566 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57566@61616
2024-03-21 21:42:38,647 | WARN  | Transport Connection to: tcp://127.0.0.1:57564 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57564@61616
2024-03-21 21:42:38,647 | WARN  | Transport Connection to: tcp://127.0.0.1:57565 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57565@61616
2024-03-21 21:42:38,646 | WARN  | Transport Connection to: tcp://127.0.0.1:57558 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57558@61616
2024-03-21 21:42:38,646 | WARN  | Transport Connection to: tcp://127.0.0.1:57556 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57556@61616
2024-03-21 21:42:38,645 | WARN  | Transport Connection to: tcp://127.0.0.1:57582 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57582@61616
2024-03-21 21:42:38,645 | WARN  | Transport Connection to: tcp://127.0.0.1:57552 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57552@61616
2024-03-21 21:42:38,645 | WARN  | Transport Connection to: tcp://127.0.0.1:57545 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57545@61616
